,130A,8A,92A,11A,38A,37A,48A,100A,77A,4A,143F,143E,120A,107A,44A,33A,7A,6A,69A,73A,26A,70A,119A,57A,129A,13A,91A,87A,27A,82A,9A,89A,83A,86A,53A
jlu,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0
sir,0,0,0,0,1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,-1,0
mno,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0
ksn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
paa,0,0,-1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,-1,-1,-1,0
bni,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
nke,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0
tmo,0,0,-1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
lho,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
tke,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,0
yok,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,1,0,-1,0,1,-1,0,0
mdl,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
djn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0
sob,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,1,0
nia,0,0,1,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,1,-1,0,0,-1,-1,0
any,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0
man,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,-1,-1,1,0,0,0,0,0,-1,0,1,0,-1,1,1,0
dmk,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
cpy,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,1,0,1,0,1,1,1,0
lac,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,-1,-1,0
bfg,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,-1,0,-1,0,1,-1,-1,0
ywl,0,0,1,0,0,0,0,0,-1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,0,1,0,0,0,-1,0,0
ggu,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
bii,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,1,1,0,-1,0,0,0,1,0,1,0,1,-1,1,0
kni,0,0,-1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1,-1,1,0
tnn,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,-1,0
taf,0,0,-1,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,-1,-1,0
bnu,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
mrr,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
yei,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
mrh,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
mon,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,1,0,-1,-1,-1,0
rwa,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,-1,0,1,1,-1,1,0,0
ssa,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
ylm,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0
mmn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,1,0,0,-1,0,1,-1,-1,0
yng,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,-1,0,0
dma,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,-1,-1,0,0
zqo,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0
kir,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,-1,1,0
ene,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0
arg,0,0,-1,0,-1,1,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,-1,0,1,0,1,-1,-1,1
naj,0,0,-1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,1,1,-1,0
mus,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,1,0,1,0,1,-1,-1,0
nha,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
grf,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,0,-1,-1,1,-1,-1,1
sna,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
ajg,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,-1,0,0,0
oks,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0
han,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,0,0
boi,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tmm,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
brp,0,0,1,0,-1,1,0,0,0,0,-1,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,-1,0,1,0,-1,1,-1,0
gav,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,1,0,1,1,0
mrq,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,1,-1,-1,0
qhu,0,0,-1,0,1,-1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0
one,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
mgk,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0
gap,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,0
fon,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
dha,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
mir,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ses,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,-1,-1,1
neh,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,1,-1,-1,0
ldu,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0
tgh,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0
nyr,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
srd,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,-1,0,1,0,1,-1,0,1
snn,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,0
trr,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,-1,1,1,0
maj,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1,0,-1,-1,-1,0
wag,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,1,0,0
mae,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
zpr,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,-1,1,0
sud,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,1,0
ndr,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,-1,0
wrb,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0
cup,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,-1,0,1,0,1,1,1,0
amx,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,1,1,0
kmw,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0
bnn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0
mpo,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,0,0
zch,0,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,-1,1,0
cem,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,-1,0,-1,-1,-1,1
mur,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,-1,-1,0
chd,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0
thu,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
qum,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,-1,0,1,-1,-1,0
aoj,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
tny,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,0,1,0,0
bun,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,0,0,0,1,0,0
nah,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
uru,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
khn,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,-1,0,0
all,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,1,0,-1,0,1,0
bid,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0
guj,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,-1,0,1,0,0,0,0,1,1,0,1,-1,1,1,0,1
mom,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
sis,0,0,0,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,1,0,1,-1,-1,0
urd,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,-1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
cos,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0
mxo,0,0,1,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,-1,-1,0,-1,0,1,-1,-1,0
tee,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,-1,0,1,-1,-1,0
tou,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
kae,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
brf,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,1,-1,-1,0
kyq,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,-1,0,0
shp,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,-1,0,1,-1,0,0
bac,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chx,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,-1,0,0,-1,-1,0
als,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,1,-1,1,0
nal,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,0,0
ido,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lar,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,1,-1,0
see,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,1,-1,-1,0
bdm,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,1,0
wal,0,0,1,0,1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,1,0,0,-1,0,0,-1,-1,0,1,0,-1,-1,0,0
kwt,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,-1,0,0,1,0,-1,1,1,0
ina,0,0,1,0,-1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,-1,0,1,0
guh,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,0
rik,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
ifm,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
mcd,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,-1,0,1
bil,0,0,-1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,-1,1,0
ncm,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-1,0,1,0,-1,-1,1,0
tbx,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tbt,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
oir,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
knb,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
teo,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,0,-1,0,0,1,0,0,0,-1,0,1,0,1,-1,-1,0
lmu,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,0
krj,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bmb,0,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,0,0,1,0,-1,-1,1,0
run,0,0,-1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,-1,0,1,0,0,1,1,0
orw,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,-1,0
agd,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,-1,-1,0
tgo,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0
kum,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
mkl,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,1,1,0
mbe,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,-1,-1,0,0
inn,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,1,0,0
pun,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,-1,1,1,0
grj,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0
wlw,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
kkt,0,0,0,0,1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,-1,0,0,1,0,0,0,-1,0,-1,0,1,-1,-1,0
buw,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0
tak,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-1,-1,0,1,0,0,1,1,0
nif,0,0,-1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0
pis,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
mrw,0,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
coc,0,0,1,0,-1,-1,0,0,1,0,-1,1,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,1,-1,0,1,0,1,-1,1,0
ten,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,-1,0,-1,-1,-1,0
xns,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
amb,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,-1,1,1,0
mni,0,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,0
rwe,0,0,1,0,-1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,-1,1,0
yin,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,-1,1,0
sti,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,1,1,0,-1,-1,0
xam,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,1,0
raw,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,-1,0,0,-1,0,0,1,-1,0,1,0,-1,1,1,0
pba,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0
ngu,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0
koe,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
lal,0,0,1,0,-1,-1,0,0,0,0,-1,1,0,0,0,-1,0,0,-1,0,-1,0,0,-1,0,0,-1,-1,0,1,0,-1,1,1,0
did,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,-1,-1,0,-1,0,-1,-1,-1,0
urt,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,1,0,-1,-1,-1,0
knn,0,0,-1,0,1,0,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
bug,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,-1,0
wor,0,0,0,0,-1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0
nhm,0,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,-1,0,-1,0,1,-1,0,0
tye,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
sid,0,0,-1,0,-1,-1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
mgi,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,0,-1,1,0,0
twe,0,0,0,0,1,1,0,0,1,0,-1,1,0,0,0,1,0,0,1,0,1,0,0,-1,0,0,1,1,0,1,0,1,1,1,0
ono,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tim,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,-1,-1,1,-1,0,1,-1,-1,0
lic,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,1,-1,0,0
arj,0,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,-1,-1,0
gaa,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
slb,0,0,1,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,1,0,1,-1,0,1,0,0,0,-1,0,1,0,-1,1,1,1
